"Date","Package","Title","Packages-VM","Packages-MC","Packages-R","Data","Sport","Gender","Category","Statistical_methodology","Metodhology_type","Tutorial","Creation_date","version_first","Date_last","Version_last","R_journal","JQAS","Citation","Category","Creator's Country","Creator's gender","year_creation","year_updated"
2020-01-07,"sport","Sequential Pairwise Online Rating Techniques","Yes","No","Yes","Yes","Speedway","Male","Professional","Yes","Compute/prediction","Yes",2018-09-03,"0.1.0",2020-01-07,"0.2.0","No","No","Dawid Kaledkowski (2020). sport: Sequential Pairwise Online Rating Techniques. R

  package version 0.2.0. https://CRAN.R-project.org/package=sport","Sports technology","Sweden","Male",2018,2020
2019-10-05,"TouRnament","Tools for Sports Competitions","Yes","Yes","Yes","No","Football","Both","Professional","No","Classification","No",2019-10-05,"0.2.5",2019-10-05,"0.2.5","No","No","Tobias Wolfanger (2019). TouRnament: Tools for Sports Competitions. R package

  version 0.2.5. https://CRAN.R-project.org/package=TouRnament","Sports performance analysis","Germany","Male",2019,2019
2019-07-03,"socceR","Evaluating Sport Tournament Predictions","Yes","Yes","Yes","Yes","Football","Male","Professional","Yes","Simulation","No",2019-07-03,"0.1.1",2019-07-03,"0.1.1","No","No","Claus Thorn Ekstrøm (2019). socceR: Evaluating Sport Tournament Predictions. R

  package version 0.1.1. https://CRAN.R-project.org/package=socceR","Sports performance analysis","Denmark","Male",2019,2019
2019-05-27,"piratings","Calculate Pi Ratings for Teams Competing in Sport Matches","Doubt","Yes","Yes","Yes","Football","Male","Professional","No","Compute/scraping","Yes",2019-05-27,"0.1.9",2019-05-27,"0.1.9","No","No","Lars Van Cutsem (2019). piratings: Calculate Pi Ratings for Teams Competing in

  Sport Matches. R package version 0.1.9.

  https://CRAN.R-project.org/package=piratings","Sports performance analysis","Belgium","Male",2019,2019
2019-05-20,"volleystat","Detailed Statistics on Volleyball Matches","Yes","Yes","Yes","Yes","Volleyball","Both","Professional","No","Scraping","Yes",2019-02-26,"0.1.0",2019-05-20,"0.2.0","No","No","Viktor Bozhinov (2019). volleystat: Detailed Statistics on Volleyball Matches. R

  package version 0.2.0. https://CRAN.R-project.org/package=volleystat","Sports performance analysis","Germany","Male",2019,2019
2019-05-19,"InjurySeverityScore","Translate ICD-9 into Injury Severity Score","No","Doubt","Yes","No","Injury sports medicine","Both","NS","No","Scraping","No",2018-03-28,"0.0.0.1",2019-05-19,"0.0.0.2","No","No","Dajun Tian (2019). InjurySeverityScore: Translate ICD-9 into Injury Severity

  Score. R package version 0.0.0.2.

  https://CRAN.R-project.org/package=InjurySeverityScore","Athlete health","United States of America","Male",2018,2019
2019-05-15,"trackeR","Infrastructure for Running, Cycling and Swimming Data from GPS-Enabled Tracking Devices","Doubt","Yes","Yes","Yes","Running/Cycling/Swimming","Both","Amateur","Yes","Compute/processing","Yes",2016-02-12,"0.0.1",2019-05-15,"1.5.2","No","No","Frick H, Kosmidis I (2017). trackeR: Infrastructure for Running and Cycling Data

from GPS-Enabled Tracking Devices in R. _Journal of Statistical Software_, *82*(7),

1-29. doi: 10.18637/jss.v082.i07 (URL: https://doi.org/10.18637/jss.v082.i07).","Sports technology","United Kingdom","Male",2016,2019
2019-04-29,"NBAloveR","Help Basketball Data Analysis","Yes","Yes","Yes","Yes","Basketball","Male","Professional","No","Scraping/visualization","Yes",2019-04-29,"0.1.3.3",2019-04-29,"0.1.3.3","No","No","Koki Ando (2019). NBAloveR: Help Basketball Data Analysis. R package version

  0.1.3.3. https://CRAN.R-project.org/package=NBAloveR","Sports performance analysis","Japan","Male",2019,2019
2019-01-03,"bikeshare14","Bay Area Bike Share Trips in 2014","No","Doubt","Yes","Yes","Cycling","Both","Amateur","No","Scraping","No",2016-08-21,"0.1.0",2019-01-03,"0.1.2","No","No","Arunkumar Srinivasan (2019). bikeshare14: Bay Area Bike Share Trips in 2014. R

  package version 0.1.2. https://CRAN.R-project.org/package=bikeshare14","Movement integration","United Kingdom","Male",2016,2019
2018-11-15,"HMMpa","Analysing Accelerometer Data Using Hidden Markov Models","Yes","Yes","Yes","No","Physical activity","Both","NS","Yes","Compute/simulation","No",2014-02-25,"1.0",2018-11-15,"1.0.1","No","No","Vitali Witowski and Ronja Foraita (2018). HMMpa: Analysing Accelerometer Data

  Using Hidden Markov Models. R package version 1.0.1.

  https://CRAN.R-project.org/package=HMMpa","Sports technology","Deutschland","Male",2014,2018
